,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
786,866,1323,1571,920,789,5469,radiant,7849.0,6803.0,6499.0,5297.0,7038.0,5540.0,3840.0,2877.0,3471.0,2696.0
787,2201,3032,-464,489,814,6072,dire,8505.0,6311.0,7294.0,4267.0,5074.0,5943.0,4317.0,3628.0,3537.0,2648.0
788,-1053,-50,725,-443,2185,1364,radiant,6447.0,7628.0,6370.0,7159.0,5044.0,4590.0,4854.0,5786.0,4748.0,2652.0
789,1167,-639,-3204,-338,-119,-3133,radiant,7250.0,5948.0,5941.0,6763.0,4988.0,7243.0,2664.0,2843.0,2409.0,2493.0
790,3233,4450,1911,197,-100,9691,radiant,8700.0,6212.0,8015.0,3557.0,6955.0,4808.0,4045.0,3919.0,2637.0,3364.0
791,-1749,-1474,-955,134,-356,-4400,radiant,5473.0,7388.0,4653.0,6155.0,4604.0,6191.0,3168.0,3474.0,4061.0,4438.0
792,-3116,-1438,-1829,-194,-850,-7427,dire,4805.0,7575.0,5029.0,6093.0,4025.0,5624.0,3370.0,3980.0,2083.0,3030.0
793,408,-841,1333,290,1051,2241,radiant,6642.0,6514.0,4692.0,5432.0,6299.0,5148.0,2955.0,2984.0,3371.0,2470.0
794,-337,-151,2072,728,-80,2232,radiant,5549.0,5614.0,4591.0,4948.0,6922.0,5072.0,4897.0,4346.0,3748.0,3920.0
795,-2694,-2591,-3319,-2712,-828,-12144,dire,4772.0,6916.0,5172.0,7488.0,3551.0,6462.0,3020.0,5278.0,2858.0,3373.0
796,1013,2403,1364,1185,1024,6989,radiant,6936.0,5756.0,7504.0,4283.0,6291.0,4917.0,4011.0,2998.0,3648.0,2381.0
797,1337,105,74,764,618,2898,radiant,6678.0,5452.0,5264.0,5080.0,5639.0,5524.0,3537.0,2814.0,3170.0,2520.0
798,429,-270,-1615,1215,2946,2705,radiant,6907.0,6685.0,5851.0,6491.0,4057.0,5945.0,4083.0,3287.0,4962.0,2485.0
799,-718,823,1288,1141,491,3025,dire,5110.0,6283.0,6105.0,5300.0,6347.0,5166.0,3866.0,2855.0,3781.0,3186.0
