,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
52,5219,6277,6722,3413,2288,6264,6765,6329,4467,3417,-1045,-488,393,-1054,-1129,-3323,dire,4816.0,5826.0,5702.0,6461.0,6889.0,6587.0,3309.0,4388.0,2335.0,3276.0
53,6076,5403,3800,2806,2273,6406,5954,4841,3335,3025,-330,-551,-1041,-529,-752,-3203,dire,6232.0,6170.0,5367.0,5793.0,3662.0,4745.0,2841.0,3378.0,2400.0,2975.0
54,6034,4829,6021,3350,2729,9196,7979,6485,4038,3949,-3162,-3150,-464,-688,-1220,-8684,dire,5624.0,8819.0,4673.0,8082.0,5919.0,6410.0,3463.0,4110.0,2506.0,4189.0
55,6517,5532,5004,2513,2407,5142,6202,5831,2982,3444,1375,-670,-827,-469,-1037,-1628,radiant,6334.0,4907.0,5663.0,6107.0,4922.0,5778.0,2723.0,3054.0,2634.0,3193.0
56,10286,6542,4448,4662,3347,6466,4257,3747,2685,2439,3820,2285,701,1977,908,9691,radiant,9966.0,6418.0,6328.0,4534.0,4190.0,3677.0,4814.0,2894.0,3485.0,2651.0
57,7991,5753,7257,4344,3457,7005,6091,5969,3034,2665,986,-338,1288,1310,792,4038,radiant,7310.0,7057.0,5801.0,6193.0,7259.0,6234.0,3789.0,3249.0,3259.0,2774.0
58,6204,4886,4445,2764,2169,6430,6313,5722,3694,2598,-226,-1427,-1277,-930,-429,-4289,dire,6313.0,6310.0,4883.0,6463.0,4545.0,5835.0,2928.0,3636.0,2283.0,2835.0
59,7726,5446,6587,4029,2644,6625,5211,6640,3003,3295,1101,235,-53,1026,-651,1658,radiant,7235.0,6166.0,5484.0,5103.0,6882.0,6673.0,4053.0,3054.0,2533.0,3398.0
60,8809,7251,8150,3730,4447,6860,6370,5409,3265,3518,1949,881,2741,465,929,6965,radiant,8592.0,6669.0,7158.0,6292.0,7905.0,5047.0,3669.0,3435.0,4330.0,3614.0
61,6087,6869,6424,3829,2673,5400,4904,5142,3233,2495,687,1965,1282,596,178,4708,dire,5997.0,5445.0,6645.0,4733.0,6156.0,5357.0,3877.0,3435.0,2721.0,2713.0
62,6396,6627,7597,4150,3585,6183,5860,5993,3658,2349,213,767,1604,492,1236,4312,radiant,6394.0,6024.0,6473.0,5796.0,7691.0,6085.0,4272.0,3918.0,3590.0,2566.0
63,9274,3898,4929,2786,2739,8774,5607,5835,4111,2665,500,-1709,-906,-1325,74,-3366,dire,8681.0,8688.0,3743.0,5649.0,4841.0,5983.0,2907.0,3944.0,2788.0,2869.0
64,7793,6578,6447,3363,3288,9118,6996,5349,3704,3137,-1325,-418,1098,-341,151,-835,dire,7793.0,8473.0,6103.0,6603.0,6681.0,5039.0,3161.0,3493.0,3105.0,2994.0
65,6156,7055,5805,3591,2998,5903,5293,4603,2825,2632,253,1762,1202,766,366,4349,radiant,6097.0,6000.0,6599.0,5205.0,5681.0,4734.0,3459.0,2983.0,2973.0,2879.0
66,6234,5411,5758,5158,3446,5629,5732,4322,6153,3766,605,-321,1436,-995,-320,405,dire,6308.0,5650.0,5461.0,5980.0,5849.0,4128.0,4533.0,6289.0,3500.0,3709.0
67,7039,7236,5574,3461,3936,5745,6807,4284,3906,2596,1294,429,1290,-445,1340,3908,dire,6676.0,5594.0,6947.0,6671.0,5184.0,4384.0,3504.0,4034.0,3717.0,2661.0
68,6041,6323,6033,3685,2958,6598,6480,6509,5445,3058,-557,-157,-476,-1760,-100,-3050,dire,5858.0,6420.0,6270.0,6242.0,5867.0,6732.0,3700.0,5761.0,3071.0,3315.0
69,6169,7320,4778,6039,4831,6169,4716,4881,2422,2259,0,2604,-103,3617,2572,8690,dire,6196.0,6251.0,7395.0,4606.0,4665.0,4704.0,5666.0,2477.0,5073.0,2401.0
70,6280,5553,6072,4263,3204,8223,6082,5689,3287,3283,-1943,-529,383,976,-79,-1192,dire,5564.0,7961.0,5546.0,6073.0,6269.0,5638.0,4148.0,3356.0,3295.0,3424.0
71,7774,5311,7691,3655,3480,7127,4626,5374,4386,2671,647,685,2317,-731,809,3727,dire,7530.0,6844.0,5345.0,4418.0,7520.0,5355.0,3715.0,4556.0,3560.0,2752.0
72,6709,6341,5497,2943,2236,7511,7756,5702,3547,2422,-802,-1415,-205,-604,-186,-3212,dire,6721.0,7276.0,6521.0,7786.0,5233.0,5694.0,2999.0,3620.0,2459.0,2668.0
73,6257,7428,6627,4142,3488,6829,3993,5543,2253,2934,-572,3435,1084,1889,554,6390,radiant,6021.0,6910.0,7051.0,4203.0,6555.0,5609.0,4204.0,2400.0,3608.0,2914.0
74,15552,13174,12666,8026,7903,11751,10150,9010,7422,4796,3801,3024,3656,604,3107,14192,radiant,15364.0,11806.0,13400.0,10176.0,12384.0,9334.0,8271.0,7767.0,8155.0,4967.0
75,8784,8119,7519,4384,3038,6739,6680,6710,4064,4114,2045,1439,809,320,-1076,3537,dire,8748.0,6526.0,7787.0,6340.0,7151.0,6966.0,4258.0,3693.0,2963.0,4198.0
76,10928,9527,9008,7911,5942,9220,5972,4890,2875,2554,1708,3555,4118,5036,3388,17805,radiant,10810.0,9644.0,9697.0,5987.0,9197.0,4702.0,7680.0,2813.0,6281.0,2512.0
77,7736,5562,5162,3798,2633,5493,3898,5834,2982,2806,2243,1664,-672,816,-173,3878,dire,7999.0,5274.0,5434.0,3901.0,5096.0,5852.0,4026.0,3058.0,2881.0,2730.0
78,6257,5773,5639,3249,3046,5605,5662,4525,3777,3340,652,111,1114,-528,-294,1055,dire,6188.0,5650.0,5825.0,5756.0,5558.0,4444.0,3432.0,3637.0,3105.0,3354.0
