match_id,hero_id,lane,lane_role,gold_t,radiant_team,dire_team,radiant_win,team,max_g,pos
7591146603,123,3,3,"[0, 210, 300, 506, 596, 906, 996, 1342, 1470, 1711, 2205, 2588, 3594, 3864, 4122, 4812, 4993, 5342, 6046, 6283, 6462, 6578, 7033, 7520, 7991, 8441, 8536, 9319, 9804, 10187, 10393, 11120, 11680, 11947, 12289]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",False,radiant,12289,4
7591146603,102,3,3,"[0, 368, 539, 880, 1084, 1283, 1409, 1499, 1589, 1972, 2440, 2737, 3040, 3826, 4184, 4568, 4663, 5448, 6236, 6478, 6645, 7134, 7373, 7722, 8360, 8686, 8884, 9633, 10892, 11317, 11811, 12445, 12635, 12774, 12874]","[112, 123, 8, 102, 106]","[14, 91, 137, 20, 136]",False,radiant,12874,3
7591716813,49,1,3,"[0, 249, 569, 915, 1286, 2128, 2615, 3100, 3420, 4416, 4908, 5819, 6665, 7258, 7486, 8290, 8906, 9586, 10609, 11327, 12287, 13197, 13457, 13768, 14530, 15774]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",True,dire,15774,1
7591716813,86,1,3,"[100, 230, 320, 501, 631, 836, 1035, 1170, 1389, 1705, 1976, 2241, 2755, 3367, 3462, 3971, 4427, 4894, 5682, 6458, 6958, 7836, 8003, 8098, 8775, 9935]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",True,dire,9935,5
7591716813,120,2,2,"[0, 251, 623, 865, 1237, 1498, 2191, 2723, 3240, 3985, 4634, 5104, 5738, 6628, 7033, 7573, 8016, 8738, 9173, 10332, 10827, 11657, 12688, 13349, 14813, 15616]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",True,dire,15616,2
7591716813,6,3,1,"[0, 216, 509, 874, 1164, 1489, 1906, 2199, 2565, 3131, 3676, 4300, 4772, 5206, 5798, 6441, 7108, 8221, 8686, 9349, 10174, 10955, 11586, 12096, 12617, 13663]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",True,dire,13663,3
7591716813,110,3,1,"[0, 130, 220, 355, 529, 657, 792, 969, 1105, 1576, 2059, 2349, 2629, 3163, 3619, 3938, 4413, 4898, 5361, 6209, 6818, 7769, 8346, 8673, 9577, 10577]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",True,dire,10577,4
7591716813,123,1,1,"[0, 298, 388, 478, 651, 785, 974, 1130, 1350, 1440, 1530, 1673, 1824, 2155, 2312, 2782, 3027, 3412, 3667, 3799, 4332, 5029, 5325, 6000, 6380, 6749]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",False,radiant,6749,5
7591716813,10,1,1,"[0, 210, 414, 617, 815, 1061, 1403, 1819, 2230, 2354, 2891, 3461, 4049, 4680, 4926, 5502, 6546, 6922, 7139, 7234, 7652, 7747, 8465, 9152, 10136, 10929]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",False,radiant,10929,2
7591716813,46,2,2,"[0, 333, 548, 918, 1399, 1814, 2288, 2865, 3500, 3590, 4521, 4849, 5342, 5745, 6458, 7495, 7639, 8549, 8644, 8739, 9531, 10020, 10740, 11580, 12353, 13115]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",False,radiant,13115,1
7591716813,79,3,3,"[0, 210, 300, 390, 528, 663, 753, 843, 981, 1203, 1665, 1839, 1979, 2127, 2277, 2557, 2802, 3027, 3122, 3363, 3884, 4448, 5504, 6132, 6491, 7021]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",False,radiant,7021,4
7591716813,98,3,3,"[0, 328, 650, 903, 1307, 1625, 1837, 2198, 2604, 2694, 3187, 3649, 3910, 4357, 4659, 4840, 5869, 6132, 6244, 6531, 7538, 7633, 8172, 8978, 9290, 9660]","[123, 10, 79, 46, 98]","[49, 6, 110, 86, 120]",False,radiant,9660,3
7592853213,129,1,3,"[0, 208, 454, 769, 1019, 1419, 1740, 2214, 2576, 2990, 3560, 3955, 4501, 4996, 5614, 6668, 7226, 7480, 7967, 8136, 8400, 8854, 9500, 10114, 10792, 11082, 11593, 12013, 12464, 13242, 13417, 13815, 13915, 14357, 15345, 15487, 16236, 16336]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",False,dire,16336,3
7592853213,72,1,3,"[0, 206, 296, 386, 476, 651, 974, 1154, 1272, 1648, 1921, 2246, 2611, 3000, 3248, 3704, 4224, 4670, 5297, 5521, 5853, 6149, 6539, 7718, 7913, 8008, 8265, 8568, 8959, 10142, 10423, 10623, 10981, 12150, 12957, 13537, 13920, 14185]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",False,dire,14185,4
7592853213,46,2,2,"[0, 284, 588, 840, 1090, 1330, 1642, 2098, 2607, 3176, 3610, 4488, 5041, 6016, 6565, 7009, 8054, 8491, 9338, 9559, 10074, 10955, 11320, 12048, 12444, 12539, 12907, 13240, 14142, 14292, 14854, 14954, 15152, 16326, 16606, 17260, 17732, 18166]","[93, 33, 15, 21, 19]","[4, 46, 129, 72, 65]",False,dire,18166,2
