,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
74,7535209904,25,22,23,112,83,46,14,98,121,3,-2717,-2852,-3240,-538,-2631,-11978,35,dire,21129.0,24055.0,16029.0,18148.0,16239.0,19875.0,10797.0,11948.0,10815.0,13536.0
75,7535614616,6,49,29,100,31,113,63,22,2,102,-1918,1422,-875,-2679,142,-3908,35,dire,21161.0,22217.0,16019.0,14341.0,16238.0,17259.0,10452.0,12836.0,8442.0,8012.0
76,7535724706,70,86,97,138,110,113,56,98,105,100,4318,-99,-190,488,5195,9712,35,radiant,23455.0,20160.0,15906.0,16750.0,15968.0,17064.0,11021.0,10836.0,12356.0,8088.0
77,7535725505,41,82,49,58,26,53,98,113,96,9,-2124,-2375,-3571,-4585,-3929,-16584,35,dire,21413.0,22776.0,19772.0,21393.0,16912.0,20248.0,13753.0,17887.0,9244.0,12591.0
78,7535755508,6,59,96,5,58,10,106,86,97,119,29,1713,1228,2995,3950,9915,35,radiant,22204.0,22135.0,17828.0,16151.0,16044.0,14271.0,14553.0,11390.0,12946.0,9796.0
79,7535757511,95,2,19,14,31,10,63,96,114,20,-8937,-1399,-751,-4282,-2780,-18149,35,dire,15173.0,24762.0,13545.0,14180.0,13996.0,14726.0,10744.0,14865.0,7734.0,10396.0
80,7535992313,95,21,98,75,83,41,59,96,111,20,-2314,1095,601,-2956,684,-2890,35,radiant,18482.0,20952.0,18051.0,15483.0,14396.0,13727.0,9340.0,11138.0,9617.0,7875.0
81,7535996813,21,80,137,105,26,41,19,38,53,20,2559,1657,-421,-2589,-265,941,35,dire,23969.0,18639.0,19040.0,15705.0,17225.0,16225.0,12974.0,14380.0,11157.0,11169.0
82,7536605901,10,71,120,110,121,89,106,97,105,75,-11240,-1317,-3541,-3306,-1015,-20419,35,dire,19648.0,29693.0,16994.0,18628.0,16023.0,19077.0,9337.0,12397.0,9958.0,10047.0
83,7536677705,113,22,96,65,105,94,106,69,58,121,1641,-2344,-2294,2543,3001,2547,35,radiant,24919.0,23715.0,17619.0,20552.0,15980.0,18052.0,13562.0,11225.0,12528.0,9537.0
84,7537775002,41,39,97,123,20,82,74,129,65,105,2041,2435,1460,2580,-465,8051,35,radiant,21447.0,18881.0,20025.0,17099.0,16267.0,15033.0,14267.0,11427.0,10471.0,11758.0
85,7537910800,73,120,129,53,79,47,41,55,51,110,11703,2649,4441,5602,4112,28507,35,radiant,27145.0,14687.0,20107.0,17336.0,20297.0,15731.0,14071.0,8737.0,12868.0,8990.0
86,7538469504,10,106,78,75,26,41,49,102,58,110,2297,-3733,-4151,-2444,-95,-8126,35,dire,23543.0,21078.0,16754.0,19519.0,12643.0,17459.0,9472.0,12256.0,9091.0,8992.0
87,7538527908,89,46,23,26,105,41,22,96,123,20,1764,-3945,-2096,-4694,-1182,-10153,35,dire,25644.0,23316.0,19262.0,22053.0,16515.0,17687.0,8751.0,13186.0,7984.0,8458.0
88,7538558409,138,29,19,64,45,74,129,6,53,103,-4041,-2515,-1120,-5582,-1252,-14510,35,dire,18903.0,21343.0,17926.0,20031.0,15908.0,17545.0,11576.0,17257.0,10492.0,11907.0
89,7538571609,25,90,105,137,121,113,69,114,112,5,-5071,-1884,1432,-1121,-433,-7077,35,dire,20805.0,26680.0,18252.0,20236.0,16145.0,14969.0,13368.0,15131.0,11747.0,11612.0
